,state,s20187,s20188,s20189,s201810,s201811,s201812,s20191,s20192,s20193,s20194,s20195,s20196,s20197,s20198,s20199,s201910,s201911,s201912,s20201,s20202,s20203,s20204,s20205,s20206,s20207,s20208,s20209,s202010,s202011,s202012,s20211,s20212,s20213,s20214,s20215,s20216,s20217,s20218,s20219,s202110,s202112,s20221,s20222,s20223,s20224,s20225,s20226,s20227,s20228,s20229,s202210,s202211,s202212,s20231,s20232,s20233,s20234,s20235,s20236,s20237,s20238,s20239,Latitude,Longitude
10,Devbhumi Dwarka,20.6,21.730000000000004,15.915333333333331,4.168064516129032,1.7256666666666665,1.1009677419354837,0.837741935483871,0.8232142857142859,0.7916129032258066,0.3133333333333334,0.2603225806451613,4.210333333333334,11.065806451612904,22.581935483870975,26.384000000000004,17.62,15.737333333333332,8.771290322580644,7.325161290322582,6.710344827586207,6.45741935483871,6.4293333333333305,6.03032258064516,10.283666666666667,26.000645161290322,29.14129032258065,22.207666666666668,16.458709677419353,13.065666666666669,10.111612903225806,8.112258064516128,6.847142857142857,5.444516129032258,6.724000000000002,7.898709677419356,12.424000000000003,21.88548387096774,15.34066666666667,28.55206896551724,24.477857142857147,11.551290322580646,15.604666666666668,11.891785714285717,10.025806451612901,9.213,8.472666666666667,12.904666666666667,25.51258064516129,25.224516129032263,22.393000000000004,12.879354838709677,9.474482758620692,8.876129032258067,8.763666666666666,8.737037037037036,9.052333333333332,8.435666666666668,10.618064516129033,19.148999999999997,26.858064516129033,15.142903225806451,9.566153846153847,22.244475899999998,68.96800187672852
11,Dohad,29.9125,27.35258064516129,20.448999999999998,11.618064516129033,6.693999999999999,5.434193548387097,5.010967741935484,4.993214285714286,4.5790322580645135,2.3816666666666664,2.2348387096774194,13.364666666666666,29.808709677419355,32.84967741935484,34.63466666666667,27.148064516129033,22.972666666666672,14.95,13.346129032258064,13.022758620689656,12.921935483870966,14.15566666666667,13.814193548387102,25.273,28.884516129032264,30.426129032258064,31.041999999999998,21.073870967741936,16.606,16.956129032258065,16.169354838709676,14.80892857142857,12.037419354838706,14.097000000000001,16.74032258064516,20.909999999999993,26.64290322580645,27.269666666666673,30.607586206896556,28.604999999999997,19.204193548387096,17.831333333333337,16.781785714285714,15.820645161290324,15.20566666666667,14.110000000000003,18.677666666666667,28.06354838709678,30.489354838709684,25.772333333333343,23.308387096774194,17.397586206896555,15.88935483870968,15.566666666666666,15.718148148148146,17.189,16.197999999999997,16.27,20.454333333333334,30.31322580645161,26.98935483870968,24.89153846153846,22.8358786,74.2556823
12,Gandhinagar,15.99125,16.4,13.178333333333335,7.502258064516127,5.593666666666667,3.133548387096774,1.7838709677419358,1.8475000000000001,2.1148387096774197,2.2116666666666664,0.7322580645161291,9.621333333333332,15.981612903225807,23.055806451612906,25.959,16.05516129032258,13.124333333333334,7.685161290322582,6.8025806451612905,6.4962068965517235,6.411612903225806,6.439000000000002,6.016129032258067,15.819,19.15483870967742,19.65516129032258,19.580666666666666,10.499677419354839,7.645333333333334,7.804516129032259,6.905483870967741,6.261428571428572,5.78774193548387,6.159999999999999,10.808387096774194,15.051333333333334,14.698387096774194,11.884999999999996,20.40896551724138,16.742142857142856,8.793870967741935,7.834,7.157500000000001,6.985806451612903,6.863000000000001,6.474666666666666,8.495333333333333,19.23258064516129,23.34000000000001,15.891333333333334,12.304838709677421,7.674827586206896,7.074838709677419,7.002666666666668,7.033333333333333,7.552666666666666,7.147333333333333,8.46258064516129,15.677000000000001,22.262903225806454,13.730967741935482,12.226923076923079,23.2232877,72.6492267
13,Gir Somnath,24.661250000000003,18.768709677419356,12.530333333333333,5.561290322580645,4.387666666666666,2.7441935483870963,1.8800000000000006,1.8724999999999998,1.6732258064516126,0.6463333333333334,0.37387096774193534,13.125,22.947741935483872,25.714516129032262,28.99133333333333,20.62193548387097,16.01,11.676774193548388,11.19225806451613,11.010689655172412,10.825161290322583,10.799000000000005,10.109032258064518,21.090000000000007,25.92032258064516,29.312580645161287,27.641333333333332,16.78806451612903,12.426666666666668,13.423870967741939,11.854838709677418,10.622857142857145,8.783548387096774,10.345,13.711612903225806,16.366666666666664,20.129354838709677,17.772333333333332,23.406206896551723,21.569999999999997,15.117096774193548,13.063666666666668,12.011785714285713,11.339354838709676,10.872333333333334,10.581666666666669,15.535333333333336,22.723225806451616,21.533870967741933,19.70266666666667,16.31806451612903,11.903793103448276,11.12032258064516,10.897333333333338,10.846666666666668,11.105,11.280666666666667,13.23032258064516,17.901,25.13967741935484,17.467741935483872,11.92153846153846,21.11078745,70.52198806960467
14,Jamnagar,21.69375,20.789354838709677,13.902666666666669,3.264193548387097,1.8256666666666665,1.3832258064516127,1.1370967741935483,1.112142857142857,1.0290322580645161,0.5286666666666666,0.4370967741935484,4.695000000000001,14.836774193548385,26.729999999999997,29.62366666666667,21.699032258064516,18.97766666666667,10.430322580645159,10.206774193548387,10.11241379310345,9.90032258064516,10.036333333333333,9.521935483870967,18.485666666666667,27.65838709677419,29.51258064516129,27.30633333333333,18.344193548387096,15.337,13.538709677419355,11.644193548387095,10.236785714285714,7.593548387096777,10.370333333333333,14.950967741935486,18.645,24.507419354838706,18.238,29.41689655172414,26.67357142857143,15.204516129032257,17.252,15.141785714285714,13.653548387096773,12.972999999999997,12.082333333333331,17.87066666666667,27.33064516129032,26.650645161290328,24.250000000000004,16.43774193548387,13.338965517241377,12.886451612903222,12.846666666666666,12.875185185185183,12.583666666666666,12.170333333333334,16.95193548387097,22.029666666666667,29.54806451612903,18.427419354838708,13.37076923076923,22.4732415,70.0552102
15,Junagadh,26.02375,21.62870967741936,15.896666666666667,8.753225806451612,7.337333333333333,5.894516129032258,5.139999999999996,5.139999999999998,4.866451612903225,3.4396666666666667,3.0464516129032257,15.068666666666665,25.861935483870973,29.148064516129033,32.965333333333334,26.437419354838703,21.77766666666667,15.596451612903227,15.322258064516129,15.530000000000003,15.401935483870966,15.43366666666667,14.529032258064513,26.155333333333335,29.477741935483877,31.907741935483873,31.159666666666666,25.89258064516129,20.527,18.592903225806456,17.127741935483872,16.225714285714286,14.001935483870971,16.10666666666667,20.485483870967744,23.99,28.390000000000004,24.86666666666667,32.000344827586204,30.23785714285714,20.969032258064516,18.897000000000002,17.79642857142857,17.140967741935487,16.869666666666667,16.418666666666667,22.589000000000002,30.552580645161285,30.313548387096777,27.409000000000002,22.365806451612904,18.14103448275862,17.0841935483871,16.852666666666664,16.83333333333333,17.373666666666665,17.611333333333334,23.24193548387097,26.416333333333334,33.42580645161291,24.651612903225807,19.087692307692308,21.5174104,70.4642754
16,Kachchh,17.768749999999997,18.12483870967742,12.126666666666665,2.8558064516129034,1.058,0.9158064516129032,0.8812903225806452,0.8507142857142858,0.8238709677419356,0.3106666666666665,0.326774193548387,1.9323333333333332,7.417741935483869,24.136774193548383,22.973333333333336,15.475806451612904,12.04,7.611290322580645,4.400322580645161,3.7279310344827583,3.6190322580645153,3.6586666666666665,3.3803225806451604,8.869666666666665,19.58516129032258,27.63290322580645,24.275000000000002,12.478709677419355,8.286666666666665,5.377741935483872,4.128387096774193,3.541428571428571,5.077419354838711,6.521999999999999,9.315483870967741,12.042000000000002,20.453548387096774,12.048333333333336,28.8,26.105,11.229999999999999,12.658333333333333,7.7749999999999995,5.263548387096774,4.337,4.021333333333334,6.363333333333332,26.189354838709672,28.06903225806452,24.157999999999998,10.386774193548389,5.376206896551723,4.74032258064516,4.989333333333333,5.560740740740739,8.580333333333334,7.506,7.400645161290322,16.91766666666667,27.277741935483867,12.387741935483868,6.701538461538462,23.583333,70.0
17,Kheda,19.04,18.111612903225808,13.025999999999998,7.582580645161292,5.766666666666667,3.215161290322581,1.8580645161290328,1.8517857142857144,1.7277419354838708,1.1546666666666667,0.32548387096774195,9.129333333333333,18.649354838709677,26.486129032258066,29.503,18.057096774193546,13.544333333333334,8.63967741935484,8.15451612903226,8.050689655172414,8.044193548387097,8.341333333333335,7.80483870967742,17.660666666666668,21.281290322580645,20.364193548387092,21.497,12.119032258064516,9.258333333333333,10.511290322580644,9.194838709677418,8.319642857142856,7.363870967741935,8.260666666666665,13.205483870967743,18.884666666666664,18.372580645161293,15.291666666666664,23.977931034482758,19.142857142857146,10.321612903225807,9.324333333333334,8.804285714285715,8.508387096774191,8.411333333333333,8.306666666666668,13.098,23.632580645161287,24.400645161290324,17.755333333333333,14.647096774193548,9.411724137931037,8.644516129032256,8.484666666666666,8.46037037037037,9.508999999999999,9.023333333333335,9.983225806451614,18.451333333333334,25.600967741935484,16.80838709677419,14.34153846153846,22.75,72.833333
18,Mahesana,16.295,16.203870967741935,13.93,8.347741935483873,6.198333333333334,3.5264516129032257,2.0341935483870968,2.146785714285714,2.8180645161290316,2.8533333333333326,1.1612903225806452,10.583666666666664,16.862903225806452,22.814838709677424,26.993000000000002,17.210000000000004,13.508666666666668,8.373548387096776,7.603548387096774,7.448620689655173,7.445483870967743,7.670333333333332,7.265483870967741,16.89466666666667,20.219032258064516,22.236451612903224,21.524666666666665,11.509677419354839,9.205666666666668,8.51548387096774,7.800967741935484,7.328214285714288,6.612580645161291,7.329,11.667741935483871,17.503333333333334,17.3341935483871,13.036666666666667,20.807241379310344,17.377857142857142,13.782580645161291,10.931000000000001,9.0625,8.404193548387097,8.251,7.790333333333333,10.156333333333334,21.66129032258064,24.14193548387097,16.588333333333335,11.116774193548386,8.601034482758621,8.223548387096773,8.222999999999999,8.407407407407408,9.105999999999998,8.583666666666666,11.198387096774194,17.547,22.223870967741934,13.519354838709676,13.444615384615386,23.6015557,72.3867981
19,Mahisagar,21.335,19.5841935483871,15.188333333333333,8.630645161290323,5.204666666666667,3.8641935483870964,3.263548387096774,3.2417857142857147,2.9580645161290318,1.4399999999999997,1.1648387096774195,12.064333333333334,21.08806451612903,26.835806451612903,28.55866666666667,17.713225806451614,14.002,8.975806451612902,8.544193548387097,8.486551724137929,8.432903225806452,8.931000000000001,8.569032258064516,18.968999999999998,23.012903225806454,22.03774193548387,24.145666666666667,14.051935483870967,10.469,10.492903225806451,9.510322580645163,8.711428571428572,7.390645161290324,8.688333333333333,13.523225806451613,19.187,20.874516129032255,18.262333333333334,25.026896551724143,20.48785714285714,12.863225806451615,11.130666666666666,10.172857142857143,9.520645161290323,9.223666666666668,8.808333333333334,14.361333333333333,24.3383870967742,25.812258064516122,19.511000000000006,17.03,11.036206896551722,9.678709677419356,9.336,9.354074074074074,11.296333333333335,10.421333333333335,10.807741935483872,16.541333333333334,23.893548387096775,19.053548387096775,16.74692307692308,23.1916967,73.6626352964019
20,Morbi,22.856250000000003,22.155806451612904,14.998333333333333,5.3112903225806445,3.896666666666667,2.8245161290322587,2.1293548387096775,2.0628571428571427,1.8351612903225807,0.874,0.42096774193548375,3.7853333333333334,15.750322580645161,28.988709677419354,30.64766666666667,23.987419354838707,23.148,13.613225806451615,11.92548387096774,11.432068965517242,11.152580645161288,11.380666666666666,10.75258064516129,21.652000000000005,28.4158064516129,31.334516129032266,29.825,19.912903225806453,16.872666666666667,15.298064516129033,13.431612903225808,11.998571428571429,10.818709677419356,13.516666666666664,20.729677419354843,23.095999999999997,26.045483870967743,20.477,30.33586206896552,28.259285714285717,20.003548387096775,19.31366666666667,16.824642857142855,15.623548387096772,14.745000000000001,13.262,19.14,29.555806451612902,28.58774193548387,26.723,17.81096774193548,14.943793103448275,14.545483870967741,14.576333333333336,14.841851851851853,16.186,15.003333333333332,18.375806451612902,22.915333333333333,31.262258064516125,20.22322580645161,15.781538461538462,22.8176662,70.8345928
21,Narmada,26.5825,24.206129032258062,18.15266666666667,11.304193548387097,8.362,7.835806451612903,7.661935483870967,7.659642857142857,7.283870967741936,5.472333333333334,5.399354838709678,13.71266666666667,29.306129032258063,29.185483870967737,31.879000000000005,26.924838709677417,24.809,15.817741935483868,14.342258064516127,14.131724137931041,13.951935483870969,14.032333333333334,13.168387096774191,25.53333333333334,28.352580645161293,30.64161290322581,29.697333333333333,23.157096774193544,18.54633333333333,21.30709677419355,20.109354838709674,17.38285714285714,14.385483870967743,16.252666666666666,19.02451612903226,24.316666666666666,27.78483870967742,26.728999999999992,30.402758620689657,28.957857142857147,23.94225806451612,20.142666666666667,18.27321428571429,16.77516129032258,16.311666666666664,16.13233333333333,20.455,29.77451612903226,29.481290322580644,27.585,24.044838709677418,18.317931034482754,16.903548387096773,16.548,16.38925925925926,19.58,18.726333333333333,18.984838709677422,21.95033333333333,30.47612903225807,24.886451612903222,24.789230769230763,21.738303950000002,73.62736015921328
22,Navsari,28.71,26.156451612903226,14.198,6.65225806451613,4.368333333333333,3.7399999999999993,3.543548387096775,3.5300000000000002,3.2051612903225806,1.5763333333333336,1.5700000000000005,14.009666666666668,30.35645161290323,28.883548387096777,31.939999999999998,24.727096774193548,24.00366666666667,13.652258064516126,12.03,11.914137931034478,11.72322580645161,11.699999999999996,10.987096774193546,24.722333333333328,27.56,31.134838709677414,30.891333333333332,20.535806451612903,15.59933333333333,20.045806451612904,19.298709677419357,16.055714285714284,12.967419354838707,14.019,18.675806451612903,25.747000000000003,28.43806451612904,27.729333333333336,30.688275862068963,27.72857142857143,23.87387096774194,18.434000000000005,16.407857142857143,14.686129032258064,13.966000000000001,13.893666666666668,19.254666666666665,29.684193548387096,28.993870967741938,28.10166666666667,22.673870967741934,16.39275862068966,14.536451612903226,14.067333333333336,13.938518518518517,15.303333333333335,14.931999999999999,16.406774193548387,18.619000000000003,31.181290322580647,25.12322580645161,24.541538461538458,20.952407,72.9323831
23,Panch Mahals,26.93,24.69161290322581,17.374666666666666,9.584516129032258,6.105333333333332,4.1899999999999995,3.2645161290322586,3.25,2.9532258064516124,1.4273333333333331,0.9696774193548385,11.466666666666667,25.942903225806454,29.886774193548383,31.65333333333334,22.49677419354839,20.575,12.83741935483871,11.495483870967744,11.254482758620693,11.151935483870968,12.050666666666666,11.674193548387096,21.098666666666663,24.525806451612905,26.950645161290318,27.701666666666668,18.556451612903224,14.27,14.705161290322577,13.456451612903225,12.356071428571429,10.354193548387096,12.230666666666671,16.740000000000002,22.502,25.14032258064516,22.304666666666662,28.983448275862067,25.275714285714287,18.248064516129038,16.13866666666667,14.873571428571427,13.706129032258065,13.10966666666667,12.392999999999997,16.028,27.477741935483873,27.975806451612897,23.073666666666668,21.493548387096777,15.13,13.701612903225806,13.348333333333334,13.257407407407406,14.149000000000003,13.365999999999998,14.373548387096776,22.30933333333333,29.304516129032258,23.610967741935486,20.659230769230767,23.0,74.0
24,Patan,17.971249999999998,17.553225806451614,13.068666666666669,5.601612903225806,3.4676666666666667,1.8448387096774195,1.00258064516129,1.0160714285714287,0.960967741935484,0.6833333333333333,0.502258064516129,4.993666666666667,14.013548387096774,24.547419354838716,26.221333333333334,19.344193548387096,14.322666666666667,8.770645161290322,6.741290322580644,6.075862068965516,5.876129032258065,5.954666666666666,5.623548387096776,15.415666666666663,20.645806451612902,26.92161290322581,24.133333333333333,12.152258064516127,9.116666666666667,8.347096774193549,7.074838709677419,6.059642857142856,5.235161290322579,6.156666666666666,9.732580645161292,15.725666666666665,20.169032258064515,14.197666666666667,23.179655172413796,20.187142857142856,16.764193548387095,13.767333333333331,10.617142857142857,9.029354838709676,7.876000000000001,6.557333333333336,10.214666666666666,24.43548387096774,25.91,20.538,11.718709677419353,8.624827586206896,8.156129032258065,8.336333333333336,9.548518518518518,9.264333333333333,8.064,9.033225806451615,17.199666666666666,24.817096774193555,15.545806451612902,10.06769230769231,23.8505032,72.1133403
25,Porbandar,23.33,23.337419354838712,17.600333333333328,6.863870967741937,4.768,3.5129032258064514,2.8406451612903223,2.8296428571428565,2.6516129032258062,1.5613333333333337,1.3080645161290323,7.592666666666667,15.459354838709677,23.836451612903225,27.486666666666668,20.323225806451614,17.697333333333336,11.055806451612906,10.303870967741934,9.960689655172413,9.762903225806454,9.80766666666667,9.182258064516128,14.287666666666668,26.232580645161292,28.017419354838708,23.178,18.410645161290322,14.924000000000001,13.004193548387095,11.276451612903227,10.12607142857143,8.37451612903226,9.998333333333331,12.42193548387097,15.381666666666666,22.270967741935483,18.006666666666668,27.20344827586207,24.423571428571428,14.11258064516129,15.651000000000002,13.965714285714288,12.889354838709675,12.883333333333335,12.565666666666665,16.201,25.26774193548387,24.869999999999997,22.113999999999997,15.722580645161292,12.576551724137932,12.050967741935485,11.960666666666665,11.951851851851849,11.659666666666665,10.77433333333333,13.114516129032259,20.045666666666666,26.711612903225813,16.87193548387097,12.530000000000001,21.6409,69.611
